azureresourcemanagerautomanage,[isPrerelease=true;tfm=netstandard2.0]Azure.ResourceManager.Automanage,1.1.0-beta.1
azureresourcemanagerautomation,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.Automation,1.2.0-alpha.20250513.1
azureresourcemanageravs,[isPrerelease=true;tfm=netstandard2.0]Azure.ResourceManager.Avs,1.2.0-beta.1
azureresourcemanagerbatch,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.Batch,1.6.0-alpha.20250514.1
azureresourcemanagerbilling,[isPrerelease=true;tfm=netstandard2.0]Azure.ResourceManager.Billing,1.1.0-beta.1
azureresourcemanagerbillingbenefits,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.BillingBenefits,1.0.0-alpha.20250513.1
azureresourcemanagerblueprint,[isPrerelease=true;tfm=netstandard2.0]Azure.ResourceManager.Blueprint,1.0.0-beta.5
azureresourcemanagerbotservice,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.BotService,1.2.0-alpha.20250514.1
azureresourcemanagercarbonoptimization,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.CarbonOptimization,1.0.0-alpha.20250513.1
azureresourcemanagercdn,[isPrerelease=true;tfm=netstandard2.0]Azure.ResourceManager.Cdn,1.2.0-beta.1
azureresourcemanagerchangeanalysis,[isPrerelease=true;tfm=netstandard2.0]Azure.ResourceManager.ChangeAnalysis,1.1.0-beta.1
